1,Masculino,39,Gaza,Primária,Divorciado,7173.15,167.8,60.9,Insatisfeito,24/06/1985,11/09/2025,2,Não,Contacto posterior
2,Feminino,38,Tete,Licenciatura,Viúvo,7029.27,171.4,70.8,Satisfeito,05/07/1986,29/08/2025,1,Sim,Contacto posterior
3,Masculino,18,Sofala,Nenhuma,União de facto,38648.41,163.7,64.9,Satisfeito,21/03/2006,14/12/2025,1,Sim,Dados confirmados
4,Masculino,40,Sofala,Primária,Casado,8933.46,151.4,59.6,Insatisfeito,20/11/1984,24/04/2025,2,Não,Sem observações
5,Feminino,34,Gaza,Secundária,Divorciado,8916.76,162.4,72.4,Neutro,26/05/1990,19/08/2025,4,Sim,Contacto posterior
6,Feminino,36,Niassa,Secundária,Viúvo,22936.68,161.3,66.1,Insatisfeito,05/05/1988,31/12/2025,3,Sim,Dados confirmados
7,Feminino,24,Maputo,Licenciatura,Casado,44663.5,162.4,79.5,Satisfeito,30/09/2000,13/09/2025,7,Não,Necessita revisão
8,Masculino,46,Manica,Secundária,União de facto,14821.59,166.2,59.6,Insatisfeito,18/02/1978,05/06/2025,2,Sim,Sem observações
9,Masculino,43,Manica,Secundária,Solteiro,9204.67,157.4,73.5,Muito satisfeito,21/11/1981,21/04/2025,2,Não,Entrevista concluída
10,Masculino,25,Manica,Licenciatura,Casado,10314.18,188.3,58.9,Muito insatisfeito,26/05/1999,04/05/2025,0,Não,Necessita revisão
11,Feminino,30,Nampula,Secundária,Viúvo,23384.82,164.8,57.3,Neutro,05/12/1994,11/12/2025,2,Sim,Dados confirmados
12,Feminino,27,Gaza,Nenhuma,Viúvo,6788.55,159.4,39.9,Muito insatisfeito,25/02/1997,28/05/2025,3,Sim,Dados confirmados
13,Masculino,20,Zambézia,Primária,União de facto,22791.28,170.6,85.4,Muito insatisfeito,22/02/2004,01/08/2025,1,Não,Contacto posterior
14,Feminino,49,Gaza,Secundária,Viúvo,36274.68,176.9,50.6,Muito insatisfeito,10/01/1975,28/09/2025,3,Não,Dados confirmados
15,Feminino,18,Cabo Delgado,Primária,Divorciado,8733.14,162.0,79.1,Insatisfeito,18/01/2006,13/04/2025,1,Não,Contacto posterior
